ID,Season,Player Name,Role,Status,Franchise,Base Price,Final Price
2021ASP001,2021,Arjun Tendulkar,All Rounder,SOLD,MI,20,20
2021ASP002,2021,Akash Singh,Bowler,SOLD,RR,20,20
2021ASP003,2021,Pawan Negi,All Rounder,SOLD,KKR,50,50
2021ASP004,2021,Venkatesh Iyer,Bowler,SOLD,KKR,20,20
2021ASP005,2021,Ben Cutting,All Rounder,SOLD,KKR,75,75
2021ASP006,2021,Hari Nishanth,Batsman,SOLD,CSK,20,20
2021ASP007,2021,Harbhajan Singh,Bowler,SOLD,KKR,200,200
2021ASP008,2021,Mujeeb Ur Rahman,Bowler,SOLD,SRH,100,100
2021ASP009,2021,Sam Billings,Batsman / Wicket-keeper,SOLD,DC,200,200
2021ASP010,2021,Kedar Jadhav,Batting Allrounder,SOLD,SRH,200,200
2021ASP011,2021,Karun Nair,Batsman,SOLD,KKR,50,50
2021ASP012,2021,Saurabh Kumar,All Rounder,SOLD,PBKS,20,20
2021ASP013,2021,Marco Jansen,All Rounder,SOLD,MI,20,20
2021ASP014,2021,Bhagath Verma,All Rounder,SOLD,CSK,20,20
2021ASP015,2021,Yudhvir Singh,Bowler,SOLD,MI,20,20
2021ASP016,2021,James Neesham,Batting Allrounder,SOLD,MI,50,50
2021ASP017,2021,Kuldip Yadav,Bowler,SOLD,RR,20,20
2021ASP018,2021,Harishankar Reddy,Bowler,SOLD,CSK,20,20
2021ASP019,2021,Srikar Bharat,Batsman / Wicket-keeper,SOLD,RCB,20,20
2021ASP020,2021,Suyash Prabhudessai,Batsman,SOLD,RCB,20,20
2021ASP021,2021,Liam Livingstone,Batsman,SOLD,RR,75,75
2021ASP022,2021,Daniel Christian,All Rounder,SOLD,RCB,75,400
2021ASP023,2021,Fabian Allen,Batting Allrounder,SOLD,PBKS,75,75
2021ASP024,2021,Vaibhav Arora,Bowler,SOLD,KKR,20,20
2021ASP025,2021,Utkarsh Singh,Bowler,SOLD,PBKS,20,20
2021ASP026,2021,Jalaj Saxena,Batting Allrounder,SOLD,PBKS,30,30
2021ASP027,2021,Moises Henriques,Batting Allrounder,SOLD,PBKS,100,400
2021ASP028,2021,Tom Curran,All Rounder,SOLD,DC,100,500
2021ASP029,2021,Kyle Jamieson,Bowler,SOLD,RCB,75,1500
2021ASP030,2021,Cheteshwar Pujara,Batsman,SOLD,CSK,50,50
2021ASP031,2021,KC Cariappa,Bowler,SOLD,RR,20,20
2021ASP032,2021,Lukman Meriwala,Bowler,SOLD,DC,20,20
2021ASP033,2021,Jagadeesha Suchith,Bowler,SOLD,SRH,20,30
2021ASP034,2021,Manimaran Siddharth,Bowler,SOLD,DC,20,20
2021ASP035,2021,Riley Meredith,Bowler,SOLD,PBKS,40,800
2021ASP036,2021,Chetan Sakariya,Bowler,SOLD,RR,20,100
2021ASP037,2021,Mohammed Azharuddeen,Batsman / Wicket-keeper,SOLD,RCB,20,20
2021ASP038,2021,Sheldon Jackson,Batsman / Wicket-keeper,SOLD,KKR,20,20
2021ASP039,2021,Vishnu Vinod,Batsman / Wicket-keeper,SOLD,DC,20,20
2021ASP040,2021,Krishnappa Gowtham,All Rounder,SOLD,CSK,20,900
2021ASP041,2021,Shahrukh Khan,All Rounder,SOLD,PBKS,20,500
2021ASP042,2021,Ripal Patel,Bowler,SOLD,DC,20,20
2021ASP043,2021,Rajat Patidar,Batsman,SOLD,RCB,20,20
2021ASP044,2021,Sachin Baby,Batsman,SOLD,RCB,20,20
2021ASP045,2021,Mustafizur Rahman,Bowler,SOLD,RR,100,100
2021ASP046,2021,Piyush Chawla,All Rounder,SOLD,MI,50,200
2021ASP047,2021,Jhye Richardson,All Rounder,SOLD,PBKS,100,1400
2021ASP048,2021,Umesh Yadav,Bowler,SOLD,DC,100,100
2021ASP049,2021,Nathan Coulter-Nile,Bowler,SOLD,MI,100,500
2021ASP050,2021,Adam Milne,Bowler,SOLD,MI,50,300
2021ASP051,2021,Dawid Malan,Batsman,SOLD,PBKS,100,100
2021ASP052,2021,Chris Morris,All Rounder,SOLD,RR,75,1600
2021ASP053,2021,Shivam Dube,All Rounder,SOLD,RR,50,400
2021ASP054,2021,Moeen Ali,Batting Allrounder,SOLD,CSK,200,700
2021ASP055,2021,Shakib Al Hasan,Batting Allrounder,SOLD,KKR,200,300
2021ASP056,2021,Glenn Maxwell,Batting Allrounder,SOLD,RCB,200,1400
2021ASP057,2021,Steven Smith,Batsman,SOLD,DC,200,200
2022ASP001,2022,Shikhar Dhawan,Batsman,SOLD,PBKS,200,825
2022ASP002,2022,Shreyas Iyer,Batsman,SOLD,KKR,200,1225
2022ASP003,2022,Faf du Plessis,Batsman,SOLD,RCB,200,700
2022ASP004,2022,David Warner,Batsman,SOLD,DC,200,625
2022ASP005,2022,Manish Pandey,Batsman,SOLD,LSG,100,460
2022ASP006,2022,Shimron Hetmyer,Batsman,SOLD,RR,150,850
2022ASP007,2022,Robin Uthappa,Batsman,SOLD,CSK,200,200
2022ASP008,2022,Jason Roy,Batsman,SOLD,GT,200,200
2022ASP009,2022,Devdutt Padikkal,Batsman,SOLD,RR,200,775
2022ASP010,2022,Priyam Garg,Batsman,SOLD,SRH,20,20
2022ASP011,2022,Abhinav Sadarangani,Batsman,SOLD,GT,20,260
2022ASP012,2022,Dewald Brevis,Batsman,SOLD,MI,20,300
2022ASP013,2022,Ashwin Hebbar,Batsman,SOLD,DC,20,20
2022ASP014,2022,Rahul Tripathi,Batsman,SOLD,SRH,40,850
2022ASP015,2022,Aiden Markram,Batsman,SOLD,SRH,100,260
2022ASP016,2022,Ajinkya Rahane,Batsman,SOLD,KKR,100,100
2022ASP017,2022,Mandeep Singh,Batsman,SOLD,DC,50,110
2022ASP018,2022,Rinku Singh,Batsman,SOLD,KKR,20,55
2022ASP019,2022,Manan Vohra,Batsman,SOLD,LSG,20,20
2022ASP020,2022,Finn Allen,Batsman,SOLD,RCB,50,80
2022ASP021,2022,Devon Conway,Batsman,SOLD,CSK,100,100
2022ASP022,2022,Rovman Powell,Batsman,SOLD,DC,75,280
2022ASP023,2022,Subhranshu Senapati,Batsman,SOLD,CSK,20,20
2022ASP024,2022,R Samarth,Batsman,SOLD,SRH,20,20
2022ASP025,2022,Abhijeet Tomar,Batsman,SOLD,KKR,20,40
2022ASP026,2022,Pratham Singh,Batsman,SOLD,KKR,20,20
2022ASP027,2022,David Miller,Batsman,SOLD,GT,100,300
2022ASP028,2022,C Hari Nishaanth,Batsman,SOLD,CSK,20,20
2022ASP029,2022,Anmolpreet Singh,Batsman,SOLD,MI,20,20
2022ASP030,2022,Alex Hales,Batsman,SOLD,KKR,150,150
2022ASP031,2022,Evin Lewis,Batsman,SOLD,LSG,200,200
2022ASP032,2022,Karun Nair,Batsman,SOLD,RR,50,140
2022ASP033,2022,Banuka Rajapaksa,Batsman,SOLD,PBKS,50,50
2022ASP034,2022,Rahul Buddhi,Batsman,SOLD,MI,20,20
2022ASP035,2022,Ramesh Kumar,Batsman,SOLD,KKR,20,20
2022ASP036,2022,Rassie van der Dussen,Batsman,SOLD,RR,100,100
2022ASP037,2022,Kagiso Rabada,Bowler,SOLD,PBKS,200,925
2022ASP038,2022,Trent Boult,Bowler,SOLD,RR,200,800
2022ASP039,2022,Mohammad Shami,Bowler,SOLD,GT,200,625
2022ASP040,2022,T Natarajan,Bowler,SOLD,SRH,100,400
2022ASP041,2022,Deepak Chahar,Bowler,SOLD,CSK,200,1400
2022ASP042,2022,Prasidh Krishna,Bowler,SOLD,RR,100,1000
2022ASP043,2022,Lockie Ferguson,Bowler,SOLD,GT,200,1000
2022ASP044,2022,Josh Hazlewood,Bowler,SOLD,RCB,200,775
2022ASP045,2022,Mark Wood,Bowler,SOLD,LSG,200,750
2022ASP046,2022,Bhuvneshwar Kumar,Bowler,SOLD,SRH,200,420
2022ASP047,2022,Shardul Thakur,Bowler,SOLD,DC,200,1075
2022ASP048,2022,Mustafizur Rahman,Bowler,SOLD,DC,200,200
2022ASP049,2022,Kuldeep Yadav,Bowler,SOLD,DC,100,200
2022ASP050,2022,Rahul Chahar,Bowler,SOLD,PBKS,75,525
2022ASP051,2022,Yuzvendra Chahal,Bowler,SOLD,RR,200,650
2022ASP052,2022,Basil Thampi,Bowler,SOLD,MI,30,30
2022ASP053,2022,Kartik Tyagi,Bowler,SOLD,SRH,20,400
2022ASP054,2022,Akash Deep,Bowler,SOLD,RCB,20,20
2022ASP055,2022,KM Asif,Bowler,SOLD,CSK,20,20
2022ASP056,2022,Avesh Khan,Bowler,SOLD,LSG,20,1000
2022ASP057,2022,Ishan Porel,Bowler,SOLD,PBKS,20,25
2022ASP058,2022,Tushar Deshpande,Bowler,SOLD,CSK,20,20
2022ASP059,2022,Ankit Singh Rajpoot,Bowler,SOLD,LSG,20,50
2022ASP060,2022,Noor Ahmad,Bowler,SOLD,GT,30,30
2022ASP061,2022,Murugan Ashwin,Bowler,SOLD,MI,20,160
2022ASP062,2022,KC Cariappa,Bowler,SOLD,RR,20,30
2022ASP063,2022,Shreyas Gopal,Bowler,SOLD,SRH,20,75
2022ASP064,2022,Jagadeesha Suchith,Bowler,SOLD,SRH,20,20
2022ASP065,2022,R Sai Kishore,Bowler,SOLD,GT,20,300
2022ASP066,2022,Khaleel Ahmed,Bowler,SOLD,DC,50,525
2022ASP067,2022,Dushmanta Chameera,Bowler,SOLD,LSG,50,200
2022ASP068,2022,Chetan Sakariya,Bowler,SOLD,DC,50,420
2022ASP069,2022,Sandeep Sharma,Bowler,SOLD,PBKS,50,50
2022ASP070,2022,Navdeep Saini,Bowler,SOLD,RR,75,260
2022ASP071,2022,Jaydev Unadkat,Bowler,SOLD,MI,75,130
2022ASP072,2022,Mayank Markande,Bowler,SOLD,MI,50,65
2022ASP073,2022,Shahbaz Nadeem,Bowler,SOLD,LSG,50,50
2022ASP074,2022,Maheesh Theekshana,Bowler,SOLD,CSK,50,70
2022ASP075,2022,Yash Dayal,Bowler,SOLD,GT,20,320
2022ASP076,2022,Simarjeet Singh,Bowler,SOLD,CSK,20,20
2022ASP077,2022,Daniel Sams,Bowler,SOLD,MI,100,260
2022ASP078,2022,Jason Behrendorff,Bowler,SOLD,RCB,75,75
2022ASP079,2022,Obed McCoy,Bowler,SOLD,RR,75,75
2022ASP080,2022,Tymal Mills,Bowler,SOLD,MI,100,150
2022ASP081,2022,Adam Milne,Bowler,SOLD,CSK,150,1.9
2022ASP082,2022,Vaibhav Arora,Bowler,SOLD,PBKS,20,200
2022ASP083,2022,Mukesh Choudhary,Bowler,SOLD,CSK,20,20
2022ASP084,2022,Rasikh Dar,Bowler,SOLD,KKR,20,20
2022ASP085,2022,Mohsin Khan,Bowler,SOLD,LSG,20,20
2022ASP086,2022,Chama Milind,Bowler,SOLD,RCB,20,25
2022ASP087,2022,Prashant Solanki,Bowler,SOLD,CSK,20,120
2022ASP088,2022,Sean Abbott,Bowler,SOLD,SRH,75,240
2022ASP089,2022,Alzarri Joseph,Bowler,SOLD,GT,75,240
2022ASP090,2022,Riley Meredith,Bowler,SOLD,MI,100,100
2022ASP091,2022,Baltej Dhanda,Bowler,SOLD,PBKS,20,20
2022ASP092,2022,Saurabh Dubey,Bowler,SOLD,SRH,20,20
2022ASP093,2022,Ashok Sharma,Bowler,SOLD,KKR,20,55
2022ASP094,2022,Lungi Ngidi,Bowler,SOLD,DC,50,50
2022ASP095,2022,Karn Sharma,Bowler,SOLD,RCB,50,50
2022ASP096,2022,Kuldeep Sen,Bowler,SOLD,RR,20,20
2022ASP097,2022,Fazalhaq Farooqi,Bowler,SOLD,SRH,50,50
2022ASP098,2022,Mayank Yadav,Bowler,SOLD,LSG,20,20
2022ASP099,2022,Tejas Baroka,Bowler,SOLD,RR,20,20
2022ASP100,2022,Tim Southee,Bowler,SOLD,KKR,150,150
2022ASP101,2022,Varun Aaron,Bowler,SOLD,GT,50,50
2022ASP102,2022,Kuldip Yadav,Bowler,SOLD,RR,20,20
2022ASP103,2022,Umesh Yadav,Bowler,SOLD,KKR,200,200
2022ASP104,2022,Nathan Coulter-Nile,Bowler,SOLD,RR,200,200
2022ASP105,2022,Siddharth Kaul,Bowler,SOLD,RCB,75,75
2022ASP106,2022,Quinton de Kock,Batsman / Wicket-keeper,SOLD,LSG,200,675
2022ASP107,2022,Ambati Rayudu,Batsman / Wicket-keeper,SOLD,CSK,200,675
2022ASP108,2022,Ishan Kishan,Batsman / Wicket-keeper,SOLD,MI,200,1525
2022ASP109,2022,Jonny Bairstow,Batsman / Wicket-keeper,SOLD,PBKS,150,675
2022ASP110,2022,Dinesh Karthik,Batsman / Wicket-keeper,SOLD,RCB,200,550
2022ASP111,2022,Nicholas Pooran,Batsman / Wicket-keeper,SOLD,SRH,150,1075
2022ASP112,2022,KS Bharat,Batsman / Wicket-keeper,SOLD,DC,20,200
2022ASP113,2022,Anuj Rawat,Batsman / Wicket-keeper,SOLD,RCB,20,340
2022ASP114,2022,Prabhsimran Singh,Batsman / Wicket-keeper,SOLD,PBKS,20,60
2022ASP115,2022,Sheldon Jackson,Batsman / Wicket-keeper,SOLD,KKR,30,60
2022ASP116,2022,Jitesh Sharma,Batsman / Wicket-keeper,SOLD,PBKS,20,20
2022ASP117,2022,Baba Indrajith,Batsman / Wicket-keeper,SOLD,KKR,20,20
2022ASP118,2022,Sam Billings,Batsman / Wicket-keeper,SOLD,KKR,200,200
2022ASP119,2022,Wridhhiman Saha,Batsman / Wicket-keeper,SOLD,GT,100,190
2022ASP120,2022,Matthew Wade,Batsman / Wicket-keeper,SOLD,GT,200,240
2022ASP121,2022,N Jagadeesan,Batsman / Wicket-keeper,SOLD,CSK,20,20
2022ASP122,2022,Vishnu Vinod,Batsman / Wicket-keeper,SOLD,SRH,20,50
2022ASP123,2022,Glenn Phillips,Batsman / Wicket-keeper,SOLD,SRH,150,150
2022ASP124,2022,Tim Seifert,Batsman / Wicket-keeper,SOLD,DC,50,50
2022ASP125,2022,Dhruv Jurel,Batsman / Wicket-keeper,SOLD,RR,20,20
2022ASP126,2022,Aryan Juyal,Batsman / Wicket-keeper,SOLD,MI,20,20
2022ASP127,2022,Luvnith Sisodia,Batsman / Wicket-keeper,SOLD,RCB,20,20
2022ASP128,2022,Ravichandran Ashwin,All Rounder,SOLD,RR,200,500
2022ASP129,2022,Pat Cummins,All Rounder,SOLD,KKR,200,725
2022ASP130,2022,Dwayne Bravo,All Rounder,SOLD,CSK,200,440
2022ASP131,2022,Nitish Rana,All Rounder,SOLD,KKR,100,800
2022ASP132,2022,Jason Holder,All Rounder,SOLD,LSG,150,875
2022ASP133,2022,Harshal Patel,All Rounder,SOLD,RCB,200,1075
2022ASP134,2022,Deepak Hooda,All Rounder,SOLD,LSG,75,575
2022ASP135,2022,Wanindu Hasaranga,All Rounder,SOLD,RCB,100,1075
2022ASP136,2022,Washington Sundar,All Rounder,SOLD,SRH,150,875
2022ASP137,2022,Krunal Pandya,All Rounder,SOLD,LSG,200,825
2022ASP138,2022,Mitchell Marsh,All Rounder,SOLD,DC,200,650
2022ASP139,2022,Riyan Parag,All Rounder,SOLD,RR,30,380
2022ASP140,2022,Abhishek Sharma,All Rounder,SOLD,SRH,20,650
2022ASP141,2022,Sarfaraz Khan,All Rounder,SOLD,DC,20,20
2022ASP142,2022,Shahrukh Khan,All Rounder,SOLD,PBKS,40,900
2022ASP143,2022,Shivam Mavi,All Rounder,SOLD,KKR,40,725
2022ASP144,2022,Rahul Tewatia,All Rounder,SOLD,GT,40,900
2022ASP145,2022,Kamlesh Nagarkoti,All Rounder,SOLD,DC,40,110
2022ASP146,2022,Harpreet Brar,All Rounder,SOLD,PBKS,20,380
2022ASP147,2022,Shahbaz Ahamad,All Rounder,SOLD,RCB,30,240
2022ASP148,2022,Liam Livingstone,All Rounder,SOLD,PBKS,100,1150
2022ASP149,2022,Dominic Drakes,All Rounder,SOLD,GT,75,110
2022ASP150,2022,Jayant Yadav,All Rounder,SOLD,GT,100,170
2022ASP151,2022,Vijay Shankar,All Rounder,SOLD,GT,50,140
2022ASP152,2022,Odean Smith,All Rounder,SOLD,PBKS,100,600
2022ASP153,2022,Marco Jansen,All Rounder,SOLD,SRH,50,420
2022ASP154,2022,Shivam Dube,All Rounder,SOLD,CSK,50,400
2022ASP155,2022,K. Gowtham,All Rounder,SOLD,LSG,50,90
2022ASP156,2022,Lalit Yadav,All Rounder,SOLD,DC,20,65
2022ASP157,2022,Ripal Patel,All Rounder,SOLD,DC,20,20
2022ASP158,2022,Yash Dhull,All Rounder,SOLD,DC,20,50
2022ASP159,2022,N. Tilak Varma,All Rounder,SOLD,MI,20,170
2022ASP160,2022,Mahipal Lomror,All Rounder,SOLD,RCB,40,95
2022ASP161,2022,Anukul Roy,All Rounder,SOLD,KKR,20,20
2022ASP162,2022,Darshan Nalkande,All Rounder,SOLD,GT,20,20
2022ASP163,2022,Sanjay Yadav,All Rounder,SOLD,MI,20,50
2022ASP164,2022,Raj Angad Bawa,All Rounder,SOLD,PBKS,20,200
2022ASP165,2022,Rajvardhan Hangargekar,All Rounder,SOLD,CSK,30,150
2022ASP166,2022,Jofra Archer,All Rounder,SOLD,MI,200,800
2022ASP167,2022,Rishi Dhawan,All Rounder,SOLD,PBKS,50,55
2022ASP168,2022,Dwaine Pretorius,All Rounder,SOLD,CSK,50,50
2022ASP169,2022,Sherfane Rutherford,All Rounder,SOLD,RCB,100,100
2022ASP170,2022,Mitchell Santner,All Rounder,SOLD,CSK,100,190
2022ASP171,2022,Romario Shepherd,All Rounder,SOLD,SRH,75,775
2022ASP172,2022,Tim David,All Rounder,SOLD,MI,40,825
2022ASP173,2022,Pravin Dubey,All Rounder,SOLD,DC,20,50
2022ASP174,2022,Prerak Mankad,All Rounder,SOLD,PBKS,20,20
2022ASP175,2022,Suyash Prabhudessai,All Rounder,SOLD,RCB,20,30
2022ASP176,2022,Ayush Badoni,All Rounder,SOLD,LSG,20,20
2022ASP177,2022,Aneeshwar Gautam,All Rounder,SOLD,RCB,20,20
2022ASP178,2022,Chamika Karunaratne,All Rounder,SOLD,KKR,50,50
2022ASP179,2022,Pradeep Sangwan,All Rounder,SOLD,GT,20,20
2022ASP180,2022,Writtick Chatterjee,All Rounder,SOLD,PBKS,20,20
2022ASP181,2022,Shashank SIngh,All Rounder,SOLD,SRH,20,20
2022ASP182,2022,Kyle Mayers,All Rounder,SOLD,LSG,50,50
2022ASP183,2022,Karan Sharma,All Rounder,SOLD,LSG,20,20
2022ASP184,2022,Mohammed Arshad Khan,All Rounder,SOLD,MI,20,20
2022ASP185,2022,Ansh Patel,All Rounder,SOLD,PBKS,20,20
2022ASP186,2022,Anunay Singh,All Rounder,SOLD,RR,20,20
2022ASP187,2022,Chris Jordan,All Rounder,SOLD,CSK,200,360
2022ASP188,2022,Nathan Ellis,All Rounder,SOLD,PBKS,75,75
2022ASP189,2022,Ramandeep Singh,All Rounder,SOLD,MI,20,20
2022ASP190,2022,Atharava Taide,All Rounder,SOLD,PBKS,20,20
2022ASP191,2022,Gurkeerat Singh,All Rounder,SOLD,GT,50,50
2022ASP192,2022,Benny Howell,All Rounder,SOLD,PBKS,40,40
2022ASP193,2022,Hrithik Shokeen,All Rounder,SOLD,MI,20,20
2022ASP194,2022,Bhagath Varma,All Rounder,SOLD,CSK,20,20
2022ASP195,2022,Arjun Tendulkar,All Rounder,SOLD,MI,20,30
2022ASP196,2022,Shubham Garhwal,All Rounder,SOLD,RR,20,20
2022ASP197,2022,Mohammed Nabi,All Rounder,SOLD,KKR,100,100
2022ASP198,2022,James Neesham,All Rounder,SOLD,RR,150,150
2022ASP199,2022,Vicky Ostwal,All Rounder,SOLD,DC,20,20
2022ASP200,2022,Daryl Mitchell,All Rounder,SOLD,RR,75,75
2022ASP201,2022,Sai Sudharsan,All Rounder,SOLD,GT,20,20
2022ASP202,2022,Fabian Allen,All Rounder,SOLD,MI,75,75
2022ASP203,2022,David Willey,All Rounder,SOLD,RCB,200,200
2022ASP204,2022,Aman Khan,All Rounder,SOLD,KKR,20,20