ID,Season,Team,Retained Players,Retained Amount,Transfers In Players,Transfers In Amount,Released Players,Released Amount,Tranfers Out Players,Transfers Out Amount,Funds Remaining,Overall Slots,Overseas Slot
2021PAS001,2021,CSK,21,6210,1,3,6,2275,0,0,2290,6,1
2021PAS002,2021,DC,17,7209,0,0,6,530,2,40,12.9,8,3
2021PAS003,2021,KKR,17,7425,0,0,6,2550,0,0,1075,8,2
2021PAS004,2021,MI,18,6965,0,0,7,1440,0,0,1535,7,4
2021PAS005,2021,PBKS,16,3180,0,0,9,3670,0,0,5320,9,5
2021PAS006,2021,RR,16,5015,0,0,8,2010,1,300,3485,9,3
2021PAS007,2021,RCB,14,4910,2,40,10,3100,0,0,3590,11,3
2021PAS008,2021,SRH,22,7425,0,0,5,160,0,0,1075,3,1
2022PAS001,2022,CSK,,,0,0,,,0,0,,,
2022PAS002,2022,DC,,,0,0,,,0,0,,,
2022PAS003,2022,GT,,,0,0,,,0,0,,,
2022PAS004,2022,KKR,,,0,0,,,0,0,,,
2022PAS005,2022,LSG,,,0,0,,,0,0,,,
2022PAS006,2022,MI,,,0,0,,,0,0,,,
2022PAS007,2022,PBKS,,,0,0,,,0,0,,,
2022PAS008,2022,RR,,,0,0,,,0,0,,,
2022PAS009,2022,RCB,,,0,0,,,0,0,,,
2022PAS010,2022,SRH,,,0,0,,,0,0,,,