ID,Season,Date,Staff,Nationality,Franchise,Status,Role
2021SS001,2021,10-Dec-20,Parthiv Patel,India,MI,Appointed,Talent scout
2021SS002,2021,15-Dec-20,Tom Moody,Australia,SRH,Appointed,Director of cricket
2021SS003,2021,06-Jan-21,Pravin Amre,India,DC,Appointed,Assistant coach
2021SS004,2021,24-Jan-21,Kumar Sangakkara,Sri Lanka,RR,Appointed,Director of cricket
2021SS005,2021,10-Feb-21,Sanjay Bangar,India,RCB,Appointed,Batting consultant
2021SS006,2021,21-Feb-21,Andrew McDonald,Australia,RR,Parted ways,Head coach
2021SS007,2021,21-Feb-21,Trevor Penney,Zimbabwe,RR,Appointed,Assistant coach
2021SS008,2021,26-Feb-21,Ish Sodhi,New Zealand,RR,Appointed,Team Liaison Officer
2021SS009,2021,07-Mar-21,Sundar Raman,India,CSK,Appointed,Consultant
2021SS010,2021,13-Mar-21,Charl Langeveldt,South Africa,PBKS,Parted Ways,Bowling coach
2021SS011,2021,13-Mar-21,Damien Wright,Australia,PBKS,Appointed,Bowling coach
2021SS012,2021,28-Jul-21,Vinay Kumar,India,MI,Appointed,Talent scout
2021SS013,2021,21-Aug-21,Mike Hesson,New Zealand,RCB,In-charge,Head Coach
2022SS001,2022,-,-,-,CSK,-,-
2022SS002,2022,23-Feb-22,Ajit Agarker,India,DC,Appointed,Assistant coach
2022SS003,2022,15-Mar-22,Shane Watson,Australia,DC,Appointed,Assistant coach
2022SS004,2022,09-Mar-22,Biju George,India,DC,Appointed,Fielding coach
2022SS005,2022,03-Jan-22,Ashish Nehra,India,GT,Appointed,Head coach
2022SS006,2022,03-Jan-22,Vikram Solanki,England,GT,Appointed,Director of cricket
2022SS007,2022,03-Jan-22,Gary Kirsten,South Africa,GT,Appointed,Bowling coach and mentor
2022SS008,2022,26-Jan-22,Aashish Kapoor,India,GT,Appointed,Spin bowling coach and scout
2022SS009,2022,14-Jan-22,Bharat Arun,India,KKR,Appointed,Bowling coach
2022SS010,2022,17-Dec-21,Andy Flower,Zimbabwe,LSG,Appointed,Head coach
2022SS011,2022,18-Dec-21,Gautam Gambhir,India,LSG,Appointed,Mentor
2022SS012,2022,22-Dec-21,Vijay Dahiya,India,LSG,Appointed,Assistant coach
2022SS013,2022,11-Mar-22,Andy Bichel,Australia,LSG,Appointed,Bowling coach
2022SS014,2022,14-Mar-22,Richard Halsall,Zimbabwe,LSG,Appointed,Fielding coach
2022SS015,2022,14-Mar-22,James Pipe,England,LSG,Appointed,Physiotherapist
2022SS016,2022,22-Dec-21,Waren Andrews,Australia,LSG,Appointed,Streangth and Conditional Coach
2022SS017,2022,-,-,-,MI,-,-
2022SS018,2022,17-Dec-21,Vinayak Samant,India,PBKS,Appointed,Talent scout
2022SS019,2022,17-Dec-21,Vinayak Mane,India,PBKS,Appointed,Talent scout
2022SS020,2022,15-Feb-22,Jonty Rhodes,South Africa,PBKS,Appointed,Fielding coach and batting coach
2022SS021,2022,14-Mar-22,Julian Wood,England,PBKS,Appointed,Assistant coach and Batting consultant
2022SS022,2022,04-Mar-22,Steffan Jones,England,RR,Appointed,Bowling coach
2022SS023,2022,11-Mar-22,Lasith Malinga,Sri Lanka,RR,Appointed,Bowling coach
2022SS024,2022,11-Mar-22,Paddy Upton,South Africa,RR,Appointed,Team Catalyst
2022SS025,2022,30-Nov-21,Sanjay Bangar,India,RCB,Appointed,Head coach
2022SS026,2022,23-Dec-21,Dale Steyn,South Africa,SRH,Appointed,Bowling coach
2022SS027,2022,23-Dec-21,Brian Lara,Trinidadian,SRH,Appointed,Strategic advisor
2022SS028,2022,18-Feb-22,Simon Helmot,Australia,SRH,Appointed,Assistant coach
2022SS029,2022,23-Dec-21,Muttiah Muralithrarn,Sri Lanka,SRH,Appointed,Strategic advisor and bowling coach